model_name,auc_roc,auc_pr,log_loss,test_precision,test_recall,test_f1,test_accuracy,timing_data_prep,timing_fit,timing_predict,timing_total_seconds,timing_solve,timing_get_hamiltonian,timing_preprocessing,timing_run,timing_postprocessing
lda - high shrink,0.9643468468468468,0.9633853581761275,0.4374618142117096,1.0,0.7972972972972973,0.8872180451127819,0.9330357142857143,1.141156300000148,0.004031899999972666,0.0011097999999947206,1.1462980000001153,,,,,
lda - loose tol,0.9621396396396397,0.9565624413045203,0.277234264472119,0.935251798561151,0.8783783783783784,0.9059233449477351,0.9397321428571429,1.153596799999832,0.009076499999991938,0.0011990000002697343,1.1638723000000937,,,,,
lda - low shrink,0.9741441441441442,0.9702290987249625,0.15775972509208094,0.9562043795620438,0.8851351351351351,0.9192982456140352,0.9486607142857143,1.2014761999998882,0.0031532000002698624,0.0013957000001028064,1.2060251000002609,,,,,
lda - lsqr solver,0.9616666666666667,0.9567353624414024,0.2803861061276961,0.9416058394160584,0.8716216216216216,0.9052631578947368,0.9397321428571429,1.3898058999998284,0.003173300000071322,0.001182400000288908,1.3941616000001886,,,,,
lda - no shrink,0.9602027027027027,0.9584311822919253,0.22106639550575505,0.948905109489051,0.8783783783783784,0.9122807017543859,0.9441964285714286,1.1437646000003951,0.0038331999999172695,0.0012987000000066473,1.148896500000319,,,,,
lda - svd solver,0.9616666666666667,0.9567353624414024,0.2801155129906863,0.9416058394160584,0.8716216216216216,0.9052631578947368,0.9397321428571429,1.2550244000003659,0.005203900000196882,0.0009866000000329223,1.2612149000005957,,,,,
lda - tight tol,0.9616666666666667,0.9567353624414024,0.2801155129906863,0.9416058394160584,0.8716216216216216,0.9052631578947368,0.9397321428571429,1.174461699999938,0.006029099999977916,0.001090100000055827,1.1815808999999717,,,,,
logistic regression - high iter,0.978581081081081,0.9744931622078885,0.1494832379442506,0.9571428571428572,0.9054054054054054,0.9305555555555555,0.9553571428571429,1.321888499999659,0.04779850000022634,0.0010339000000385568,1.3707208999999239,,,,,
logistic regression - l1 penalty,0.97990990990991,0.9760482459525652,0.14603302003972393,0.9712230215827338,0.9121621621621622,0.9407665505226481,0.9620535714285714,1.5260898000001362,0.009339500000351109,0.0015338999996856728,1.536963200000173,,,,,
logistic regression - l2 penalty,0.978581081081081,0.9744931622078885,0.1494832379442506,0.9571428571428572,0.9054054054054054,0.9305555555555555,0.9553571428571429,1.3928780999999617,0.009431299999960174,0.0013363000002755143,1.4036457000001974,,,,,
logistic regression - newton solver,0.9784684684684685,0.9743555226929324,0.14974490717788916,0.9571428571428572,0.9054054054054054,0.9305555555555555,0.9553571428571429,1.2348354000000654,0.008164900000338093,0.0012509999996836996,1.2442513000000872,,,,,
logistic regression - no penalty,0.976936936936937,0.9747540290526044,0.1660051837069799,0.9444444444444444,0.918918918918919,0.9315068493150684,0.9553571428571429,1.242145800000344,0.04154790000029607,0.0013441999999486143,1.2850379000005887,,,,,
