model_name,run_label,random_state,auc_roc,auc_pr,log_loss,test_precision,test_recall,test_f1,test_accuracy,timing_data_prep,timing_fit,timing_predict,timing_total_seconds,timing_solve,timing_get_hamiltonian
SMU ensemble classical_qboost xgb LBFGSB rs 1,SMU ensemble classical_qboost xgb LBFGSB rs 1 (rs=1070428840),1070428840,0.9787225337184302,0.72463937807059,0.08389373123645782,0.1064516129032258,0.8918918918918919,0.19020172910662825,0.9868450311903842,4.884022799989907,,43.25506940000923,339.25378759999876,0.02657109999563545,291.088124300004
SMU ensemble classical_qboost xgb LBFGSB rs 1,SMU ensemble classical_qboost xgb LBFGSB rs 1 (rs=1339305887),1339305887,0.9787225337184302,0.72463937807059,0.08389373123645782,0.1064516129032258,0.8918918918918919,0.19020172910662825,0.9868450311903842,4.884022799989907,,42.23295439998037,338.610955799988,0.029916900006355718,291.46406170001137
SMU ensemble classical_qboost xgb LBFGSB rs 1,SMU ensemble classical_qboost xgb LBFGSB rs 1 (rs=149690572),149690572,0.9787225337184302,0.72463937807059,0.08389373123645782,0.1064516129032258,0.8918918918918919,0.19020172910662825,0.9868450311903842,4.884022799989907,,36.58349869999802,289.48162720003165,0.025347900023916736,247.9887578000198
SMU ensemble classical_qboost xgb LBFGSB rs 1,SMU ensemble classical_qboost xgb LBFGSB rs 1 (rs=2032329982),2032329982,0.9787225337184302,0.72463937807059,0.08389373123645782,0.1064516129032258,0.8918918918918919,0.19020172910662825,0.9868450311903842,4.884022799989907,,43.67170070001157,320.66272529997514,0.07341539999470115,272.03358639997896
SMU ensemble classical_qboost xgb LBFGSB rs 1,SMU ensemble classical_qboost xgb LBFGSB rs 1 (rs=2198257138),2198257138,0.9787225337184302,0.72463937807059,0.08389373123645782,0.1064516129032258,0.8918918918918919,0.19020172910662825,0.9868450311903842,4.884022799989907,,41.855284699995536,330.0646856999665,0.030000700004165992,283.2953774999769
SMU ensemble classical_qboost xgb LBFGSB rs 1,SMU ensemble classical_qboost xgb LBFGSB rs 1 (rs=3243419749),3243419749,0.9787225337184302,0.72463937807059,0.08389373123645782,0.1064516129032258,0.8918918918918919,0.19020172910662825,0.9868450311903842,4.884022799989907,,41.413741900003515,320.1657919000136,0.029526500002248213,273.8385007000179
SMU ensemble classical_qboost xgb LBFGSB rs 1,SMU ensemble classical_qboost xgb LBFGSB rs 1 (rs=3534516177),3534516177,0.9787225337184302,0.72463937807059,0.08389373123645782,0.1064516129032258,0.8918918918918919,0.19020172910662825,0.9868450311903842,4.884022799989907,,44.03408640000271,335.63475019999896,0.033034799998858944,286.6836062000075
SMU ensemble classical_qboost xgb LBFGSB rs 1,SMU ensemble classical_qboost xgb LBFGSB rs 1 (rs=4074418349),4074418349,0.9787225337184302,0.72463937807059,0.08389373123645782,0.1064516129032258,0.8918918918918919,0.19020172910662825,0.9868450311903842,4.884022799989907,,43.19585859999643,341.92633709998336,0.036898599995765835,293.80955710000126
SMU ensemble classical_qboost xgb LBFGSB rs 1,SMU ensemble classical_qboost xgb LBFGSB rs 1 (rs=4082210490),4082210490,0.9787225337184302,0.72463937807059,0.08389373123645782,0.1064516129032258,0.8918918918918919,0.19020172910662825,0.9868450311903842,4.884022799989907,,38.175751800008584,292.4617666999984,0.030646200000774115,249.37134589999914
SMU ensemble classical_qboost xgb LBFGSB rs 1,SMU ensemble classical_qboost xgb LBFGSB rs 1 (rs=619160821),619160821,0.9787225337184302,0.72463937807059,0.08389373123645782,0.1064516129032258,0.8918918918918919,0.19020172910662825,0.9868450311903842,4.884022799989907,,35.91619350001565,286.79342890001135,0.028055000002495944,245.9651576000033
