model_name,auc,log_loss,test_precision,test_recall,test_f1,test_accuracy,timing_data_prep,timing_fit,timing_predict,timing_total_seconds,timing_solve,timing_get_hamiltonian,timing_preprocessing,timing_run,timing_postprocessing
classical lbfgs lambda0.1 1k oversample,0.7818912529550827,0.5398880839347839,0.6220472440944882,0.5602836879432624,0.5895522388059702,0.7505668934240363,2.9718207999831066,,0.04136000000289641,3.100026900006924,0.005799600010504946,0.08104650001041591,,,
classical lbfgs 5k oversample0.5,0.7005035460992908,0.35543540120124817,0.4351145038167939,0.40425531914893614,0.41911764705882354,0.9037172455819622,1.6981962000136264,,0.040407000022241846,1.8492405000142753,0.0034866999776568264,0.10715060000075027,,,
classical lbfgs no-smu-params 1k oversample,0.7818676122931443,0.5400398373603821,0.6190476190476191,0.5531914893617021,0.5842696629213483,0.7482993197278912,1.5592440000036731,,0.05035510001471266,1.6873356000287458,0.0031740000122226775,0.07456249999813735,,,
classical tnc 1k oversample,0.7818912529550827,0.5398863554000854,0.6220472440944882,0.5602836879432624,0.5895522388059702,0.7505668934240363,1.5283300000010058,,0.03919730000779964,1.6455271000158973,0.0028363000019453466,0.07516350000514649,,,
classical nelder-mead 1k oversample,0.7818912529550827,0.5398863554000854,0.6220472440944882,0.5602836879432624,0.5895522388059702,0.7505668934240363,1.4356219999899622,,0.03992480001761578,1.5538626000052318,0.0027199999894946814,0.07559580000815913,,,
classical powell 1k oversample,0.7818912529550827,0.5398863554000854,0.6220472440944882,0.5602836879432624,0.5895522388059702,0.7505668934240363,1.409711000014795,,0.0395252000016626,1.5278791000309866,0.0034346999891567975,0.07520820002537221,,,
classical slsqp 1k oversample,0.7818912529550827,0.5398863554000854,0.6220472440944882,0.5602836879432624,0.5895522388059702,0.7505668934240363,1.429657699976815,,0.03913390001980588,1.543720299989218,0.0028793000092264265,0.07204939998337068,,,
classical tnc 1k oversample,0.7818912529550827,0.5398863554000854,0.6220472440944882,0.5602836879432624,0.5895522388059702,0.7505668934240363,1.4558465000009164,,0.039636499976040795,1.5739471999695525,0.003136799990897998,0.07532740000169724,,,
classical lg oversample1x schedule-2,0.7679787234042553,0.563595175743103,0.6083333333333333,0.5177304964539007,0.5593869731800767,0.7392290249433107,1.4158029000100214,,0.3738032999972347,3.555799299996579,0.03631419999874197,1.729878899990581,,,
classical lg oversample1x schedule-3,0.7723404255319148,0.602268636226654,0.6030534351145038,0.5602836879432624,0.5808823529411765,0.7414965986394558,1.405386800004635,,4.5078395000018645,44.11429670001962,8.610179600014817,29.590890799998306,,,
classical lbfgs knn 1k oversample,0.7168085106382979,0.654344916343689,0.5841584158415841,0.41843971631205673,0.48760330578512395,0.7188208616780045,1.5722259000176564,,0.18928710001637228,1.8518556000490207,0.00224910001270473,0.08809350000228733,,,
classical lbfgs lda 1k oversample,0.7581087470449173,0.5564651489257812,0.6666666666666666,0.46808510638297873,0.55,0.7551020408163265,1.5788002999906894,,0.040289899974595755,1.6947410999564454,0.0019148999999742955,0.07373599999118596,,,
classical lbfgs xgb 1k oversample,0.7445626477541372,0.8060002326965332,0.6774193548387096,0.44680851063829785,0.5384615384615384,0.7551020408163265,1.4955327000061516,,0.1056137999985367,2.408270999992965,0.002334699995117262,0.8047897999931592,,,
cvqboost lg 1k oversample lambda0.1,0.7580732860520095,0.5320928692817688,0.6697247706422018,0.5177304964539007,0.584,0.764172335600907,1.5178328000183683,,0.049576899997191504,2.4683105720409357,,0.07594970002537593,0.132398605,0.692552567,0.0
cvqboost lg 1k oversample no-smu-params,0.7541016548463356,0.5380350947380066,0.6521739130434783,0.5319148936170213,0.5859375,0.7596371882086168,1.50966189999599,,0.049692500004312024,2.0745627429894875,,0.06617549998918548,0.132407933,0.31662491000000004,0.0
cvqboost dct 1k oversample,0.6719621749408983,0.6315169930458069,0.4451219512195122,0.5177304964539007,0.478688524590164,0.6394557823129252,3.023376500001177,,0.041934600012609735,3.5608057140285077,,0.09729890001472086,0.13231995700000002,0.265875757,0.0
cvqboost knn 1k oversample,0.7306382978723405,0.553780734539032,0.6095238095238096,0.45390070921985815,0.5203252032520326,0.7324263038548753,1.5006829000194557,,0.14662469999166206,2.2367122959929997,,0.08512099998188205,0.13232147700000002,0.37196221900000004,0.0
cvqboost lda 1k oversample,0.7396217494089835,0.5371996760368347,0.65625,0.44680851063829785,0.5316455696202532,0.7482993197278912,1.4622409000003245,,0.03958800001419149,2.137952097015422,,0.06868820000090636,0.13228035000000002,0.435154647,0.0
cvqboost lg 1k oversample,0.7584278959810875,0.5330071449279785,0.6521739130434783,0.5319148936170213,0.5859375,0.7596371882086168,1.4631341000203975,,0.04019840000546537,2.2977372060112105,,0.07798929998534732,0.132318676,0.5840967300000001,0.0
cvqboost nb 1k oversample,0.7147163120567377,0.5901520848274231,0.6933333333333334,0.36879432624113473,0.4814814814814814,0.746031746031746,1.508705700020073,,0.04004759999224916,2.0217371010223992,,0.04411290001007728,0.132285818,0.296585083,0.0
cvqboost xgb 1k oversample,0.7544444444444445,0.5373799204826355,0.7407407407407407,0.425531914893617,0.5405405405405406,0.7687074829931972,2.684580000001006,,0.0837572000164073,3.9793905330142465,,0.7141820999968331,0.132391274,0.364479959,0.0
